Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
139,95,22.44211,0.83249,4.62105,0.97991,0.00094,0.00094
140,95,22.65263,0.83217,4.64211,0.97783,0.00000,0.00000
141,95,22.51579,0.83036,4.60000,0.97545,0.00000,0.00000
142,95,22.56842,0.83165,4.63158,0.97778,0.00000,0.00000
143,95,22.65263,0.83573,4.62105,0.97773,0.01553,0.01553
144,95,22.73684,0.83721,4.63158,0.97778,0.01191,0.01191
145,95,22.61053,0.83873,4.62105,0.97991,0.03044,0.03044
146,95,22.71579,0.83449,4.64211,0.97783,0.00236,0.00236
147,95,22.63158,0.83463,4.61053,0.97768,0.01631,0.01631
148,95,22.87368,0.84290,4.63158,0.97778,0.03788,0.03788
149,95,22.86316,0.84350,4.62105,0.97773,0.03882,0.03882
150,95,22.89474,0.84302,4.63158,0.97778,0.03882,0.03882
151,95,22.72632,0.84303,4.62105,0.97991,0.03882,0.03882
152,95,22.98947,0.84455,4.64211,0.97783,0.03646,0.03646
153,95,22.85263,0.84278,4.61053,0.97768,0.03882,0.03882
154,95,22.92632,0.84484,4.63158,0.97778,0.03545,0.03545
155,95,22.86316,0.84350,4.62105,0.97773,0.03882,0.03882
156,95,22.89474,0.84302,4.63158,0.97778,0.03882,0.03882
157,95,22.72632,0.84303,4.62105,0.97991,0.03882,0.03882
158,95,22.98947,0.84455,4.64211,0.97783,0.03646,0.03646
159,95,22.72632,0.83812,4.61053,0.97768,0.02903,0.02903
160,95,22.90526,0.84407,4.63158,0.97778,0.03882,0.03882
161,95,22.86316,0.84350,4.62105,0.97773,0.03773,0.03773
162,95,22.89474,0.84302,4.63158,0.97778,0.03882,0.03882
163,95,22.75789,0.84420,4.62105,0.97991,0.03545,0.03545
164,95,22.98947,0.84455,4.64211,0.97783,0.03646,0.03646
165,95,22.85263,0.84278,4.61053,0.97768,0.03882,0.03882
166,95,22.90526,0.84407,4.63158,0.97778,0.03773,0.03773
167,95,22.62105,0.83456,4.62105,0.97773,0.01553,0.01553
168,95,22.87368,0.84225,4.63158,0.97778,0.03882,0.03882
169,95,22.67368,0.84108,4.62105,0.97991,0.03545,0.03545
170,95,22.96842,0.84377,4.64211,0.97783,0.03646,0.03646
171,95,22.63158,0.83463,4.61053,0.97768,0.01317,0.01317
172,95,22.54737,0.83088,4.56842,0.96444,0.01023,0.01023
173,95,22.54737,0.83184,4.56842,0.96659,0.01325,0.01325
174,95,22.57895,0.83140,4.57895,0.96667,0.01325,0.01325
175,95,22.40000,0.83093,4.56842,0.96875,0.01242,0.01242
176,95,22.64211,0.83179,4.58947,0.96674,0.01348,0.01348
177,95,22.53684,0.83113,4.55789,0.96652,0.01325,0.01325
178,95,22.55789,0.83126,4.57895,0.96667,0.01325,0.01325
179,95,22.55789,0.83223,4.56842,0.96659,0.01372,0.01372
180,95,22.61053,0.83256,4.57895,0.96667,0.01372,0.01372
181,95,22.41053,0.83132,4.56842,0.96875,0.01265,0.01265
182,95,22.60000,0.83024,4.57895,0.96452,0.03104,0.03104
183,95,22.52632,0.83075,4.56842,0.96875,0.01268,0.01268
184,95,22.53684,0.83049,4.57895,0.96667,0.01858,0.01858
185,95,22.44211,0.82796,4.53684,0.95991,0.05007,0.05007
186,95,22.71579,0.83643,4.58947,0.96889,0.04237,0.04237
187,95,22.43158,0.83210,4.58947,0.97321,0.04576,0.04576
188,95,22.57895,0.82947,4.57895,0.96452,0.03973,0.03973
189,95,22.56842,0.83230,4.52632,0.95982,0.03503,0.03503
190,95,22.58947,0.83243,4.58947,0.96889,0.03551,0.03551
191,95,22.47368,0.82913,4.60000,0.97327,0.01416,0.01416
192,95,22.47368,0.82752,4.62105,0.97556,0.02090,0.02090
193,95,22.29474,0.82702,4.61053,0.97768,0.02640,0.02640
194,95,22.60000,0.83024,4.63158,0.97561,0.02525,0.02525
195,95,22.34737,0.82415,4.60000,0.97545,0.02121,0.02121
196,95,22.31579,0.82234,4.58947,0.96889,0.02234,0.02234
197,95,22.21053,0.81942,4.56842,0.96659,0.01766,0.01766
198,95,22.44211,0.82636,4.56842,0.96444,0.02458,0.02458
199,95,22.29474,0.82702,4.54737,0.96429,0.02383,0.02383
200,95,22.41053,0.82328,4.56842,0.96231,0.04476,0.04476
201,95,22.32632,0.82337,4.52632,0.95982,0.03452,0.03452
202,95,22.38947,0.82506,4.54737,0.96000,0.02054,0.02054
203,95,22.43158,0.82757,4.52632,0.95768,0.01460,0.01460
204,95,22.47368,0.82752,4.54737,0.96000,0.02734,0.02734
205,95,22.08421,0.81921,4.54737,0.96429,0.02057,0.02057
206,95,22.31579,0.81980,4.57895,0.96452,0.01274,0.01274
207,95,22.16842,0.81755,4.53684,0.96205,0.01361,0.01361
208,95,22.20000,0.81808,4.57895,0.96667,0.01131,0.01131
209,95,22.10526,0.81553,4.54737,0.96214,0.01352,0.01352
210,95,22.14737,0.81550,4.52632,0.95556,0.02636,0.02636
211,95,21.98947,0.81570,4.52632,0.95982,0.02547,0.02547
212,95,22.21053,0.81593,4.53684,0.95565,0.02146,0.02146
213,95,22.22105,0.81949,4.51579,0.95759,0.03325,0.03325
214,95,22.15789,0.81652,4.52632,0.95556,0.03331,0.03331
215,95,22.32632,0.82369,4.56842,0.96659,0.02980,0.02980
216,95,23.00000,0.84690,4.58947,0.96889,0.03849,0.03849
217,95,23.00000,0.85318,4.61053,0.97768,0.03655,0.03655
218,95,23.11579,0.84919,4.58947,0.96674,0.03868,0.03868
219,95,23.21053,0.85598,4.57895,0.97098,0.03860,0.03860
220,95,22.83158,0.84135,4.56842,0.96444,0.03083,0.03083
221,95,22.27368,0.82175,4.56842,0.96659,0.01572,0.01572
222,95,22.34737,0.82287,4.56842,0.96444,0.02166,0.02166
223,95,21.92632,0.81335,4.57895,0.97098,0.01745,0.01745
224,95,22.24211,0.81709,4.57895,0.96452,0.03021,0.03021
225,95,22.05263,0.81328,4.55789,0.96652,0.03117,0.03117
226,95,22.44211,0.82700,4.60000,0.97111,0.01891,0.01891
227,95,22.49474,0.82990,4.58947,0.97105,0.01305,0.01305
228,95,23.44211,0.86318,4.64211,0.98000,0.02926,0.02926
229,95,23.12632,0.85787,4.58947,0.97321,0.02816,0.02816
230,95,23.44211,0.86118,4.66316,0.98226,0.02904,0.02904
231,95,23.13684,0.85326,4.60000,0.97545,0.03164,0.03164
232,95,23.32632,0.85958,4.62105,0.97556,0.03089,0.03089
233,95,23.28421,0.85903,4.66316,0.98664,0.03252,0.03252
234,95,23.07368,0.84961,4.61053,0.97333,0.02816,0.02816
235,95,22.78947,0.84537,4.61053,0.97768,0.02689,0.02689
236,95,22.97895,0.84416,4.61053,0.97118,0.02755,0.02755
237,95,23.20000,0.85559,4.56842,0.96875,0.03478,0.03478
238,95,23.14737,0.85299,4.63158,0.97778,0.02670,0.02670
239,95,22.72632,0.83845,4.61053,0.97550,0.03609,0.03609
240,95,23.03158,0.84806,4.61053,0.97333,0.03360,0.03360
241,95,23.20000,0.86060,4.63158,0.98214,0.03392,0.03392
242,95,23.28421,0.85538,4.65263,0.98004,0.03300,0.03300
243,95,23.06316,0.85054,4.60000,0.97545,0.03712,0.03712
244,95,23.38947,0.86191,4.64211,0.98000,0.03059,0.03059
245,95,23.26316,0.85825,4.62105,0.97773,0.03228,0.03228
246,95,23.29474,0.85775,4.63158,0.97778,0.03391,0.03391
247,95,22.97895,0.85240,4.63158,0.98214,0.02613,0.02613
248,95,23.22105,0.85305,4.64211,0.97783,0.03350,0.03350
249,95,22.83158,0.84200,4.58947,0.97321,0.02776,0.02776
250,95,22.16842,0.81691,4.56842,0.96444,0.02219,0.02219
251,95,22.03158,0.81282,4.60000,0.97327,0.01816,0.01816
252,95,22.03158,0.81124,4.60000,0.97111,0.01648,0.01648
253,95,21.72632,0.80594,4.60000,0.97545,0.02734,0.02734
254,95,22.48421,0.82599,4.62105,0.97339,0.02101,0.02101
255,95,22.56842,0.83230,4.60000,0.97545,0.03569,0.03569
256,95,22.80000,0.84019,4.62105,0.97556,0.02930,0.02930
257,95,22.56842,0.83262,4.64211,0.98218,0.02139,0.02139
258,95,22.42105,0.82558,4.66316,0.98444,0.03082,0.03082
259,95,23.09474,0.85670,4.63158,0.98214,0.00472,0.00472
260,95,22.51579,0.82715,4.62105,0.97339,0.02463,0.02463
261,95,22.26316,0.82104,4.61053,0.97768,0.02781,0.02781
262,95,22.54737,0.83088,4.65263,0.98222,0.01551,0.01551
263,95,22.37895,0.82563,4.65263,0.98441,0.01064,0.01064
264,95,22.17895,0.81667,4.61053,0.97333,0.00954,0.00954
265,95,22.22105,0.82429,4.65263,0.98661,0.00723,0.00723
266,95,22.24211,0.81709,4.67368,0.98448,0.01029,0.01029
267,95,22.06316,0.81366,4.63158,0.98214,0.01303,0.01303
268,95,22.13684,0.81575,4.65263,0.98222,0.00907,0.00907
269,95,21.88421,0.80738,4.65263,0.98441,0.01357,0.01357
270,95,22.21053,0.81783,4.65263,0.98222,0.01143,0.01143
271,95,22.14737,0.82155,4.68421,0.99330,0.00765,0.00765
272,95,22.12632,0.81284,4.66316,0.98226,0.01195,0.01195
273,95,22.06316,0.81366,4.65263,0.98661,0.01378,0.01378
274,95,21.67368,0.79868,4.71579,0.99556,0.02444,0.02444
275,95,21.98947,0.81126,4.62105,0.97773,0.01633,0.01633
