Epoch - Batch,Loss student 0,Loss student 1,Ensemble loss,Multiloss value
Epoch 13 - Batch 16,64.1556,64.05408,63.74095,199.99347
Epoch 13 - Batch 17,71.13933,69.41646,68.55502,223.5014
Epoch 13 - Batch 18,76.89661,75.75693,76.12952,245.98764
Epoch 13 - Batch 19,79.91557,84.580215,84.05266,263.48834
Epoch 13 - Batch 20,77.341286,78.26638,77.852356,243.32323
Epoch 13 - Batch 21,69.47616,70.45461,69.93578,220.18893
Epoch 13 - Batch 22,75.989555,76.10499,75.31107,233.31262
Epoch 13 - Batch 23,71.90222,73.65578,72.16809,227.02594
Epoch 13 - Batch 24,65.99814,67.32388,65.480934,207.51828
Epoch 13 - Batch 25,68.36015,67.86618,67.58388,212.90598
Epoch 13 - Batch 26,77.082184,78.868416,78.027084,242.66661
Epoch 13 - Batch 27,64.66343,64.46543,63.779964,204.26465
Epoch 13 - Batch 28,73.9929,76.84475,75.02127,240.04071
Epoch 14 - Batch 0,79.10683,83.226074,81.55007,252.93372
Epoch 14 - Batch 1,88.21495,89.71739,88.17518,277.73337
