Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
125,95,9.47368,0.34951,3.16842,0.67038,0.51565,0.51565
126,95,9.74737,0.35891,3.27368,0.69111,0.49800,0.49800
127,95,9.45263,0.34725,3.20000,0.67406,0.52359,0.52359
128,95,9.46316,0.34913,3.10526,0.65702,0.51102,0.51102
129,95,9.74737,0.35891,3.20000,0.67556,0.49478,0.49478
130,95,9.14737,0.33604,3.15789,0.66519,0.53264,0.53264
131,95,9.03158,0.33320,3.12632,0.66147,0.54627,0.54627
132,95,8.93684,0.32907,3.09474,0.65333,0.54785,0.54785
133,95,9.36842,0.34416,3.08421,0.64967,0.53288,0.53288
134,95,8.92632,0.32932,3.04211,0.64365,0.54514,0.54514
135,95,8.82105,0.32481,2.97895,0.62889,0.56406,0.56406
136,95,8.85263,0.32521,2.98947,0.62971,0.56192,0.56192
137,95,8.40000,0.30990,2.87368,0.60802,0.59448,0.59448
138,95,8.24211,0.30349,2.84211,0.60000,0.61008,0.61008
139,95,8.44211,0.31013,2.96842,0.62528,0.58863,0.58863
140,95,8.72632,0.32132,2.91579,0.61556,0.58276,0.58276
141,95,8.54737,0.31473,2.96842,0.62667,0.58234,0.58234
142,95,8.44211,0.31097,2.95789,0.62444,0.58318,0.58318
143,95,8.09474,0.29806,2.95789,0.62444,0.60435,0.60435
144,95,7.90526,0.29109,2.89474,0.61111,0.61471,0.61471
145,95,8.20000,0.30206,2.85263,0.60222,0.61153,0.61153
146,95,8.67368,0.31938,2.95789,0.62444,0.58467,0.58467
147,95,8.14737,0.30000,2.87368,0.60667,0.60566,0.60566
148,95,7.92632,0.29197,2.85263,0.60222,0.61367,0.61367
149,95,7.74737,0.28527,2.86316,0.60444,0.62297,0.62297
150,95,7.94737,0.29264,2.87368,0.60667,0.61658,0.61658
151,95,7.95789,0.29314,2.76842,0.58444,0.61681,0.61681
152,95,7.70526,0.28372,2.86316,0.60444,0.61735,0.61735
153,95,8.18947,0.30155,2.88421,0.60889,0.59503,0.59503
154,95,7.53684,0.27763,2.84211,0.60000,0.63302,0.63302
155,95,7.14737,0.26318,2.69474,0.56889,0.66390,0.66390
156,95,7.61053,0.28023,2.73684,0.57778,0.62865,0.62865
157,95,7.49474,0.27608,2.74737,0.58000,0.63883,0.63883
158,95,7.44211,0.27403,2.78947,0.58889,0.63554,0.63554
159,95,7.01053,0.25814,2.74737,0.58000,0.66224,0.66224
160,95,7.68421,0.28306,2.84211,0.60000,0.63632,0.63632
161,95,7.27368,0.26783,2.75789,0.58222,0.65106,0.65106
162,95,7.35789,0.27093,2.81053,0.59333,0.64610,0.64610
163,95,7.48421,0.27569,2.76842,0.58444,0.64726,0.64726
164,95,7.24211,0.26667,2.73684,0.57778,0.65879,0.65879
165,95,7.21053,0.26550,2.68421,0.56667,0.65829,0.65829
166,95,7.15789,0.26367,2.74737,0.58000,0.66109,0.66109
167,95,6.73684,0.24806,2.65263,0.56000,0.67432,0.67432
168,95,6.77895,0.24961,2.66316,0.56222,0.67851,0.67851
169,95,6.69474,0.24661,2.69474,0.56889,0.68147,0.68147
170,95,7.28421,0.26822,2.71579,0.57333,0.64478,0.64478
171,95,6.84211,0.25194,2.69474,0.56889,0.67598,0.67598
172,95,6.52632,0.24040,2.60000,0.54889,0.68242,0.68242
173,95,7.08421,0.26085,2.65263,0.56000,0.66539,0.66539
174,95,6.62105,0.24380,2.61053,0.55111,0.68304,0.68304
175,95,6.75789,0.24893,2.64211,0.55778,0.67502,0.67502
176,95,6.52632,0.24031,2.64211,0.55778,0.68592,0.68592
177,95,6.81053,0.25078,2.62105,0.55333,0.67078,0.67078
178,95,6.84211,0.25204,2.69474,0.56889,0.66028,0.66028
179,95,6.69474,0.24651,2.61053,0.55111,0.67002,0.67002
180,95,6.33684,0.23333,2.50526,0.52889,0.69716,0.69716
181,95,6.40000,0.23575,2.56842,0.54222,0.68465,0.68465
182,95,6.33684,0.23333,2.55789,0.54000,0.68207,0.68207
183,95,6.44211,0.23721,2.56842,0.54222,0.69113,0.69113
184,95,6.51579,0.24002,2.54737,0.53778,0.68316,0.68316
185,95,6.78947,0.25000,2.62105,0.55333,0.67886,0.67886
186,95,6.22105,0.22907,2.50526,0.52889,0.69412,0.69412
187,95,6.41053,0.23614,2.52632,0.53333,0.69876,0.69876
188,95,6.67368,0.24574,2.58947,0.54667,0.68258,0.68258
189,95,6.46316,0.23798,2.50526,0.52889,0.69856,0.69856
190,95,6.48421,0.23885,2.53684,0.53556,0.68927,0.68927
191,95,6.71579,0.24729,2.61053,0.55111,0.68853,0.68853
192,95,6.13684,0.22597,2.49474,0.52667,0.70223,0.70223
193,95,6.49474,0.23924,2.58947,0.54667,0.67888,0.67888
194,95,6.44211,0.23721,2.64211,0.55778,0.68356,0.68356
195,95,6.42105,0.23643,2.55789,0.54000,0.68636,0.68636
196,95,6.71579,0.24738,2.52632,0.53333,0.67993,0.67993
197,95,6.77895,0.24961,2.55789,0.54000,0.67997,0.67997
198,95,6.45263,0.23760,2.48421,0.52444,0.69491,0.69491
199,95,6.66316,0.24544,2.47368,0.52222,0.67132,0.67132
200,95,6.43158,0.23682,2.54737,0.53778,0.69493,0.69493
201,95,6.17895,0.22752,2.54737,0.53778,0.70117,0.70117
202,95,6.32632,0.23304,2.52632,0.53333,0.69978,0.69978
203,95,6.81053,0.25078,2.53684,0.53556,0.67434,0.67434
204,95,5.78947,0.21318,2.46316,0.52000,0.71989,0.71989
205,95,6.22105,0.22916,2.47368,0.52222,0.69299,0.69299
206,95,6.11579,0.22519,2.45263,0.51778,0.70545,0.70545
207,95,5.78947,0.21318,2.46316,0.52000,0.71867,0.71867
208,95,5.91579,0.21791,2.45263,0.51778,0.71239,0.71239
209,95,6.45263,0.23760,2.51579,0.53111,0.69212,0.69212
210,95,6.16842,0.22713,2.41053,0.50889,0.70095,0.70095
211,95,6.08421,0.22412,2.48421,0.52444,0.70135,0.70135
212,95,6.13684,0.22597,2.46316,0.52000,0.70182,0.70182
213,95,6.04211,0.22248,2.42105,0.51111,0.71050,0.71050
214,95,6.30526,0.23226,2.44211,0.51556,0.69762,0.69762
215,95,6.26316,0.23062,2.43158,0.51333,0.70926,0.70926
216,95,6.48421,0.23876,2.53684,0.53556,0.67690,0.67690
217,95,6.23158,0.22955,2.49474,0.52667,0.69073,0.69073
218,95,5.96842,0.21977,2.43158,0.51333,0.71621,0.71621
219,95,6.20000,0.22829,2.50526,0.52889,0.69530,0.69530
220,95,5.92632,0.21830,2.38947,0.50444,0.71763,0.71763
221,95,6.13684,0.22597,2.41053,0.50889,0.70716,0.70716
222,95,6.30526,0.23217,2.50526,0.52889,0.69113,0.69113
223,95,6.40000,0.23575,2.50526,0.52889,0.69738,0.69738
224,95,6.22105,0.22907,2.49474,0.52667,0.70182,0.70182
225,95,6.15789,0.22674,2.45263,0.51778,0.70349,0.70349
226,95,6.89474,0.25397,2.58947,0.54667,0.67253,0.67253
227,95,6.23158,0.22946,2.47368,0.52222,0.69798,0.69798
228,95,6.05263,0.22287,2.42105,0.51111,0.70588,0.70588
229,95,5.97895,0.22024,2.43158,0.51333,0.70840,0.70840
230,95,5.80000,0.21357,2.36842,0.50000,0.71443,0.71443
231,95,5.89474,0.21705,2.38947,0.50444,0.71475,0.71475
232,95,5.93684,0.21869,2.45263,0.51778,0.71432,0.71432
233,95,5.90526,0.21744,2.33684,0.49333,0.71794,0.71794
234,95,5.88421,0.21896,2.31579,0.49217,0.71449,0.71449
235,95,5.49474,0.20209,2.27368,0.47788,0.73210,0.73210
236,95,5.57895,0.20543,2.25263,0.47556,0.73053,0.73053
237,95,5.65263,0.21034,2.29474,0.48770,0.72583,0.72583
238,95,5.65263,0.20790,2.36842,0.49779,0.72191,0.72191
239,95,5.69474,0.20969,2.31579,0.48889,0.71854,0.71854
240,95,5.68421,0.21152,2.22105,0.47204,0.71797,0.71797
241,95,5.42105,0.19938,2.31579,0.48673,0.73818,0.73818
242,95,5.66316,0.20853,2.33684,0.49333,0.72258,0.72258
243,95,5.73684,0.21347,2.27368,0.48322,0.72076,0.72076
244,95,5.57895,0.20519,2.41053,0.50664,0.72296,0.72296
245,95,5.62105,0.20698,2.35789,0.49778,0.72344,0.72344
246,95,5.85263,0.21778,2.35789,0.50112,0.71072,0.71072
247,95,5.49474,0.20209,2.29474,0.48230,0.72614,0.72614
248,95,5.77895,0.21279,2.41053,0.50889,0.71402,0.71402
249,95,5.70526,0.21230,2.35789,0.50112,0.71843,0.71843
250,95,5.77895,0.21254,2.33684,0.49115,0.71554,0.71554
251,95,5.38947,0.19845,2.28421,0.48222,0.72838,0.72838
252,95,5.62105,0.20917,2.31579,0.49217,0.73343,0.73343
253,95,5.65263,0.20790,2.24211,0.47124,0.72222,0.72222
254,95,5.40000,0.19884,2.23158,0.47111,0.73995,0.73995
255,95,5.40000,0.20094,2.23158,0.47427,0.73598,0.73598
256,95,5.81053,0.21370,2.33684,0.49115,0.71717,0.71717
257,95,6.00000,0.22093,2.43158,0.51333,0.70903,0.70903
258,95,5.77895,0.21504,2.30526,0.48993,0.72688,0.72688
259,95,6.30526,0.23190,2.48421,0.52212,0.68652,0.68652
260,95,6.07368,0.22364,2.38947,0.50444,0.70311,0.70311
261,95,5.47368,0.20368,2.43158,0.51678,0.73377,0.73377
262,95,6.08421,0.22377,2.38947,0.50221,0.70915,0.70915
263,95,5.85263,0.21550,2.26316,0.47778,0.71768,0.71768
264,95,5.30526,0.19741,2.28421,0.48546,0.73910,0.73910
265,95,5.71579,0.21022,2.32632,0.48894,0.72389,0.72389
266,95,5.61053,0.20659,2.28421,0.48222,0.72294,0.72294
267,95,5.32632,0.19820,2.26316,0.48098,0.73196,0.73196
268,95,5.88421,0.21642,2.28421,0.48009,0.71670,0.71670
269,95,5.37895,0.19806,2.25263,0.47556,0.73023,0.73023
270,95,5.67368,0.20891,2.36842,0.50000,0.72545,0.72545
271,95,5.61053,0.20877,2.30526,0.48993,0.72053,0.72053
272,95,5.69474,0.20945,2.29474,0.48230,0.72704,0.72704
273,95,5.64211,0.20775,2.40000,0.50667,0.71385,0.71385
274,95,5.87368,0.21857,2.30526,0.48993,0.70458,0.70458
275,95,5.65263,0.20790,2.37895,0.50000,0.71434,0.71434
276,95,5.69474,0.20969,2.28421,0.48222,0.71946,0.71946
277,95,5.20000,0.19350,2.18947,0.46532,0.73821,0.73821
278,95,5.58947,0.20557,2.25263,0.47345,0.72693,0.72693
279,95,5.54737,0.20426,2.25263,0.47556,0.73259,0.73259
280,95,5.86316,0.21817,2.35789,0.50112,0.71181,0.71181
281,95,5.64211,0.20751,2.33684,0.49115,0.72667,0.72667
282,95,5.32632,0.19612,2.24211,0.47333,0.73358,0.73358
283,95,5.24211,0.19139,2.24211,0.46813,0.73675,0.73675
284,95,5.78947,0.21368,2.30526,0.48559,0.71142,0.71142
285,95,5.75789,0.21202,2.36842,0.50000,0.71147,0.71147
286,95,5.56842,0.20331,2.33684,0.48791,0.73477,0.73477
287,95,5.64211,0.20824,2.29474,0.48337,0.72411,0.72411
288,95,5.43158,0.20000,2.21053,0.46667,0.72893,0.72893
289,95,5.52632,0.20177,2.27368,0.47473,0.72798,0.72798
290,95,5.56842,0.20552,2.23158,0.47007,0.71756,0.71756
291,95,5.66316,0.20853,2.26316,0.47778,0.71801,0.71801
292,95,5.66316,0.20676,2.25263,0.47033,0.72820,0.72820
293,95,5.21053,0.19231,2.24211,0.47228,0.73578,0.73578
294,95,5.46316,0.20116,2.20000,0.46444,0.73414,0.73414
295,95,5.22105,0.19062,2.23158,0.46593,0.72798,0.72798
296,95,5.55789,0.20513,2.25263,0.47450,0.71525,0.71525
297,95,5.91579,0.21783,2.44211,0.51556,0.68956,0.68956
298,95,5.71579,0.20869,2.35789,0.49231,0.72646,0.72646
299,95,5.70526,0.21057,2.27368,0.47894,0.71773,0.71773
300,95,5.52632,0.20349,2.27368,0.48000,0.72053,0.72053
301,95,5.38947,0.19677,2.20000,0.45934,0.73533,0.73533
302,95,5.42105,0.20008,2.22105,0.46785,0.72643,0.72643
303,95,5.34737,0.19690,2.18947,0.46222,0.73700,0.73700
304,95,5.40000,0.19716,2.24211,0.46813,0.73013,0.73013
305,95,5.27368,0.19464,2.27368,0.47894,0.72970,0.72970
306,95,5.27368,0.19419,2.27368,0.48000,0.72307,0.72307
307,95,5.35789,0.19562,2.23158,0.46593,0.73434,0.73434
308,95,5.16842,0.19075,2.17895,0.45898,0.74379,0.74379
309,95,5.00000,0.18411,2.15789,0.45556,0.74496,0.74496
310,95,5.25263,0.19178,2.26316,0.47253,0.73618,0.73618
311,95,4.84211,0.17871,2.14737,0.45233,0.75474,0.75474
312,95,5.07368,0.18682,2.12632,0.44889,0.74854,0.74854
313,95,5.18947,0.18947,2.23158,0.46593,0.74587,0.74587
314,95,5.06316,0.18687,2.26316,0.47672,0.73914,0.73914
315,95,5.22105,0.19225,2.28421,0.48222,0.73207,0.73207
316,95,5.32632,0.19447,2.21053,0.46154,0.74014,0.74014
317,95,5.58947,0.20629,2.30526,0.48559,0.71508,0.71508
318,95,5.45263,0.20078,2.21053,0.46667,0.73524,0.73524
319,95,5.08421,0.18563,2.16842,0.45275,0.74912,0.74912
320,95,5.22105,0.19270,2.16842,0.45676,0.73628,0.73628
321,95,4.87368,0.17946,2.08421,0.44000,0.75616,0.75616
322,95,4.98947,0.18217,2.14737,0.44835,0.75185,0.75185
323,95,5.10526,0.18842,2.23158,0.47007,0.73874,0.73874
324,95,5.16842,0.19031,2.18947,0.46222,0.73709,0.73709
325,95,5.14737,0.18793,2.20000,0.45934,0.73896,0.73896
326,95,5.54737,0.20474,2.32632,0.49002,0.72442,0.72442
327,95,5.36842,0.19767,2.25263,0.47556,0.73371,0.73371
328,95,5.09474,0.18601,2.16842,0.45275,0.74978,0.74978
329,95,5.21053,0.19231,2.25263,0.47450,0.74622,0.74622
330,95,5.02105,0.18488,2.20000,0.46444,0.75256,0.75256
331,95,5.22105,0.19062,2.21053,0.46154,0.74172,0.74172
332,95,5.17895,0.19114,2.23158,0.47007,0.73774,0.73774
333,95,4.97895,0.18333,2.21053,0.46667,0.74651,0.74651
334,95,5.21053,0.19024,2.11579,0.44176,0.74693,0.74693
335,95,4.97895,0.18376,2.18947,0.46120,0.74323,0.74323
336,95,5.05263,0.18605,2.15789,0.45556,0.74574,0.74574
337,95,5.18947,0.18947,2.23158,0.46593,0.74174,0.74174
338,95,4.98947,0.18415,2.21053,0.46563,0.74660,0.74660
339,95,4.94737,0.18217,2.18947,0.46222,0.74631,0.74631
340,95,5.21053,0.19186,2.24211,0.47333,0.73229,0.73229
341,95,5.03158,0.18738,2.24211,0.47651,0.74947,0.74947
342,95,5.24211,0.19522,2.20000,0.46756,0.73429,0.73429
343,95,5.20000,0.19147,2.20000,0.46444,0.75005,0.75005
344,95,5.23158,0.19483,2.16842,0.46085,0.74154,0.74154
345,95,5.11579,0.19051,2.25263,0.47875,0.73369,0.73369
346,95,5.25263,0.19341,2.18947,0.46222,0.74737,0.74737
347,95,4.95789,0.18463,2.17895,0.46309,0.74024,0.74024
348,95,4.97895,0.18542,2.21053,0.46980,0.74695,0.74695
349,95,4.86316,0.17907,2.15789,0.45556,0.75532,0.75532
350,95,5.45263,0.20306,2.22105,0.47204,0.71830,0.71830
351,95,4.96842,0.18503,2.20000,0.46756,0.74986,0.74986
352,95,5.40000,0.19884,2.27368,0.48000,0.73377,0.73377
353,95,5.36842,0.19992,2.24211,0.47651,0.73507,0.73507
354,95,5.16842,0.19247,2.22105,0.47204,0.74658,0.74658
355,95,4.62105,0.17016,2.15789,0.45556,0.76358,0.76358
356,95,5.05263,0.18816,2.13684,0.45414,0.74895,0.74895
357,95,4.89474,0.18228,2.14737,0.45638,0.75522,0.75522
358,95,4.71579,0.17364,2.23158,0.47111,0.75369,0.75369
359,95,5.36842,0.19992,2.26316,0.48098,0.73273,0.73273
360,95,5.37895,0.20031,2.16842,0.46085,0.74107,0.74107
361,95,5.40000,0.19884,2.28421,0.48222,0.72917,0.72917
362,95,5.28421,0.19679,2.25263,0.47875,0.72977,0.72977
363,95,5.63158,0.20972,2.21053,0.46980,0.72790,0.72790
364,95,4.80000,0.17674,2.13684,0.45111,0.76238,0.76238
365,95,5.14737,0.19169,2.10526,0.44743,0.75029,0.75029
366,95,5.18947,0.19326,2.20000,0.46756,0.74280,0.74280
367,95,5.61053,0.20659,2.31579,0.48889,0.73129,0.73129
368,95,5.35789,0.19953,2.20000,0.46756,0.74164,0.74164
369,95,5.38947,0.20071,2.28421,0.48546,0.73727,0.73727
370,95,5.33684,0.19651,2.26316,0.47778,0.73754,0.73754
371,95,5.03158,0.18738,2.18947,0.46532,0.73750,0.73750
372,95,4.91579,0.18307,2.30526,0.48993,0.74794,0.74794
373,95,4.98947,0.18372,2.22105,0.46889,0.75447,0.75447
374,95,4.90526,0.18267,2.17895,0.46309,0.74914,0.74914
375,95,4.74737,0.17679,2.16842,0.46085,0.76352,0.76352
376,95,5.27368,0.19419,2.24211,0.47333,0.73758,0.73758
377,95,4.72632,0.17601,2.15789,0.45861,0.75228,0.75228
378,95,5.13684,0.19130,2.17895,0.46309,0.74175,0.74175
379,95,5.17895,0.19070,2.23158,0.47111,0.74704,0.74704
380,95,5.40000,0.20110,2.36842,0.50336,0.72481,0.72481
381,95,4.89474,0.18228,2.21053,0.46980,0.74163,0.74163
382,95,4.70526,0.17326,2.16842,0.45778,0.76306,0.76306
383,95,4.96842,0.18503,2.25263,0.47875,0.74636,0.74636
384,95,5.17895,0.19287,2.17895,0.46309,0.74879,0.74879
385,95,5.27368,0.19419,2.27368,0.48000,0.73666,0.73666
386,95,4.81053,0.17915,2.25263,0.47875,0.74989,0.74989
387,95,4.90526,0.18267,2.21053,0.46980,0.75582,0.75582
388,95,5.01053,0.18450,2.14737,0.45333,0.75686,0.75686
389,95,5.06316,0.18855,2.15789,0.45861,0.74608,0.74608
390,95,4.68421,0.17444,2.08421,0.44295,0.76567,0.76567
391,95,4.49474,0.16550,2.05263,0.43333,0.77492,0.77492
392,95,5.07368,0.18895,2.21053,0.46980,0.74520,0.74520
393,95,4.95789,0.18463,2.16842,0.46085,0.75274,0.75274
394,95,5.16842,0.19031,2.21053,0.46667,0.75131,0.75131
395,95,5.03158,0.18738,2.28421,0.48546,0.74229,0.74229
396,95,4.92632,0.18346,2.15789,0.45861,0.75607,0.75607
397,95,4.78947,0.17636,2.21053,0.46667,0.75930,0.75930
398,95,5.68421,0.21168,2.43158,0.51678,0.71329,0.71329
399,95,4.93684,0.18385,2.20000,0.46756,0.75410,0.75410
400,95,4.43158,0.16318,2.04211,0.43111,0.78253,0.78253
401,95,4.61053,0.17170,2.13684,0.45414,0.76457,0.76457
402,95,4.76842,0.17758,2.17895,0.46309,0.75870,0.75870
403,95,5.04211,0.18566,2.16842,0.45778,0.75776,0.75776
404,95,5.51579,0.20541,2.27368,0.48322,0.72740,0.72740
405,95,5.15789,0.19208,2.18947,0.46532,0.74413,0.74413
